 -6.0000 -39.0000   6.0500 -26.9500
  0.3000  -4.7000 -37.7000
  0.3000  -3.6500 -37.7000
  0.3000  -2.6000 -37.7000
  0.3000  -1.5500 -37.7000
  0.3000  -0.5000 -37.7000
  0.3000   0.5500 -37.7000
  0.3000   1.6000 -37.7000
  0.3000   2.6500 -37.7000
  0.3000   3.7000 -37.7000
  0.3000  -4.7000 -36.6500
  0.3000  -3.6500 -36.6500
  0.3000  -2.6000 -36.6500
  0.3000  -1.5500 -36.6500
  0.3000  -0.5000 -36.6500
  0.3000   0.5500 -36.6500
  0.3000   1.6000 -36.6500
  0.3000   2.6500 -36.6500
  0.3000   3.7000 -36.6500
  0.3000  -4.7000 -35.6000
  0.3000  -3.6500 -35.6000
  0.3000  -2.6000 -35.6000
  0.3000  -1.5500 -35.6000
  0.3000  -0.5000 -35.6000
  0.3000   0.5500 -35.6000
  0.3000   1.6000 -35.6000
  0.3000   2.6500 -35.6000
  0.3000   3.7000 -35.6000
  0.3000  -4.7000 -34.5500
  0.3000  -3.6500 -34.5500
  0.3000  -2.6000 -34.5500
  0.3000  -1.5500 -34.5500
  0.3000  -0.5000 -34.5500
  0.3000   0.5500 -34.5500
  0.3000   1.6000 -34.5500
  0.3000   2.6500 -34.5500
  0.3000   3.7000 -34.5500
  0.3000  -4.7000 -33.5000
  0.3000  -3.6500 -33.5000
  0.3000  -2.6000 -33.5000
  0.3000  -1.5500 -33.5000
  0.3000  -0.5000 -33.5000
  0.3000   0.5500 -33.5000
  0.3000   1.6000 -33.5000
  0.3000   2.6500 -33.5000
  0.3000   3.7000 -33.5000
  0.3000  -4.7000 -32.4500
  0.3000  -3.6500 -32.4500
  0.3000  -2.6000 -32.4500
  0.3000  -1.5500 -32.4500
  0.3000  -0.5000 -32.4500
  0.3000   0.5500 -32.4500
  0.3000   1.6000 -32.4500
  0.3000   2.6500 -32.4500
  0.3000   3.7000 -32.4500
  0.3000  -4.7000 -31.4000
  0.3000  -3.6500 -31.4000
  0.3000  -2.6000 -31.4000
  0.3000  -1.5500 -31.4000
  0.3000  -0.5000 -31.4000
  0.3000   0.5500 -31.4000
  0.3000   1.6000 -31.4000
  0.3000   2.6500 -31.4000
  0.3000   3.7000 -31.4000
  0.3000  -4.7000 -30.3500
  0.3000  -3.6500 -30.3500
  0.3000  -2.6000 -30.3500
  0.3000  -1.5500 -30.3500
  0.3000  -0.5000 -30.3500
  0.3000   0.5500 -30.3500
  0.3000   1.6000 -30.3500
